# 台标映射（可选）：频道名,tvg-logo
# 由 gdiptv-update 读取，用于给播放列表打 tvg-logo；删掉此文件也不影响播放
安徽卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/安徽卫视.png
北京卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/北京卫视.png
天津卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/天津卫视.png
山东卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/山东卫视.png
江西卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/江西卫视.png
湖北卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/湖北卫视.png
辽宁卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/辽宁卫视.png
黑龙江卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/黑龙江卫视.png
贵州卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/贵州卫视.png
四川卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/四川卫视.png
河南卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/河南卫视.png
云南卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/云南卫视.png
重庆卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/重庆卫视.png
河北卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/河北卫视.png
东南卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/东南卫视.png
广西卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/广西卫视.png
吉林卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/吉林卫视.png
青海卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/青海卫视.png
海南卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/海南卫视.png
甘肃卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/甘肃卫视.png
三沙卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/三沙卫视.png
西藏卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/西藏卫视.png
新疆卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/新疆卫视.png
兵团卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/兵团卫视.png
宁夏卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/宁夏卫视.png
厦门卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/厦门卫视.png
陕西卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/陕西卫视.png
山西卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/山西卫视.png
延边卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/延边卫视.png
内蒙古卫视,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/内蒙古卫视.png
CCTV4K,https://epg.v1.mk/logo/CCTV4K.png
广东4K超,https://epg.v1.mk/logo/广东4K.png
南国都市,https://epg.v1.mk/logo/南国都市.png
快乐垂钓,https://epg.v1.mk/logo/快乐垂钓.png
求索纪录,https://epg.v1.mk/logo/求索纪录.png
天元围棋,https://epg.v1.mk/logo/天元围棋.png
CETV1,https://epg.v1.mk/logo/CETV1.png
CETV2,https://epg.v1.mk/logo/CETV2.png
CETV4,https://epg.v1.mk/logo/CETV4.png
早期教育,https://epg.v1.mk/logo/CETV早期教育.png
山东教育,https://epg.v1.mk/logo/山东教育卫视.png
金鹰纪实,https://epg.v1.mk/logo/金鹰纪实.png
金鹰卡通,https://epg.v1.mk/logo/金鹰卡通.png
优漫卡通,https://epg.v1.mk/logo/优漫卡通.png
卡酷动画,https://epg.v1.mk/logo/卡酷动画.png
汽摩,https://epg.v1.mk/logo/汽摩.png
老故事,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/老故事.png
国学,https://epg.v1.mk/logo/国学.png
IPTV谍战剧场,https://epg.v1.mk/logo/IPTV谍战剧场.png
IPTV相声小品,https://epg.v1.mk/logo/IPTV相声小品.png
IPTV野外,https://epg.v1.mk/logo/IPTV野外.png
IPTV法治,https://epg.v1.mk/logo/IPTV法治.png
IPTV3+,https://epg.v1.mk/logo/IPTV3+.png
IPTV5+,https://epg.v1.mk/logo/IPTV5+.png
IPTV6+,https://epg.v1.mk/logo/IPTV6+.png
IPTV8+,https://epg.v1.mk/logo/IPTV8+.png
经典电影,https://epg.v1.mk/logo/IPTV经典电影.png
热播剧场,https://epg.v1.mk/logo/IPTV热播剧场.png
IPTV少儿动画,https://epg.v1.mk/logo/IPTV少儿动画.png
IPTV魅力时尚,https://epg.v1.mk/logo/IPTV魅力时尚.png
收视指南,https://epg.v1.mk/logo/IPTV收视指南.png
环球奇观,https://epg.v1.mk/logo/环球奇观.png
发现之旅,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/发现之旅.png
中学生,https://gcore.jsdelivr.net/gh/taksssss/tv/icon/中学生.png
书画,https://epg.v1.mk/logo/书画.png
